ip,sessions,login_failed,commands,dropper_pattern,direct_tcpip,command_failed_other,file_upload,failed_download,raw_total,final_score,risk
1.116.110.170,1,0,0,0,0,0,0,0,0,0,LOW
1.117.150.44,3,0,2,1,0,0,0,0,0,0,LOW
1.193.163.2,6,0,0,0,6,0,0,0,2,7,LOW
1.197.102.62,2,0,1,0,0,0,0,0,0,0,LOW
1.212.225.99,16,6,0,0,10,0,0,0,7,24,HIGH
1.214.197.163,6,1,4,2,0,0,0,0,3,10,MEDIUM
1.214.214.114,3,0,2,1,0,0,0,0,0,0,LOW
1.214.255.210,3,1,2,1,0,0,0,0,1,3,LOW
1.22.137.50,3,0,0,0,0,0,0,0,0,0,LOW
1.220.95.211,3,0,2,1,0,0,0,0,0,0,LOW
1.222.42.237,7,0,4,2,0,0,0,0,3,10,MEDIUM
1.235.192.130,4,0,0,0,4,0,0,0,1,3,LOW
1.235.192.131,8,1,0,0,7,0,0,0,4,14,MEDIUM
1.238.106.229,6,0,4,2,0,0,0,0,2,7,LOW
1.245.207.104,1,0,9,0,0,1,0,0,4,14,MEDIUM
1.247.245.61,10,1,0,0,8,0,0,0,5,17,MEDIUM
1.30.20.238,3,0,0,0,3,0,0,0,1,3,LOW
1.30.20.98,1,0,0,0,0,0,0,0,0,0,LOW
1.82.135.154,6,1,0,0,4,0,0,0,2,7,LOW
1.92.90.243,1,0,0,0,0,0,0,0,0,0,LOW
1.94.143.149,2,0,1,0,0,0,0,0,0,0,LOW
1.94.220.55,3,0,2,1,0,0,0,0,0,0,LOW
100.27.190.243,1,0,0,0,0,0,0,0,0,0,LOW
100.27.192.197,2,0,0,0,0,0,0,0,0,0,LOW
100.27.226.38,3,0,0,0,0,0,0,0,0,0,LOW
100.27.28.186,1,0,0,0,0,0,0,0,0,0,LOW
100.31.100.19,1,0,0,0,0,0,0,0,0,0,LOW
100.48.87.238,1,0,0,0,0,0,0,0,0,0,LOW
100.53.171.244,1,0,0,0,0,0,0,0,0,0,LOW
100.53.78.176,1,0,0,0,0,0,0,0,0,0,LOW
100.54.149.28,3,0,2,1,0,0,0,0,0,0,LOW
100.55.31.181,1,0,0,0,0,0,0,0,0,0,LOW
101.126.146.145,2,0,1,0,0,0,0,0,0,0,LOW
101.126.22.12,1,0,0,0,0,0,0,0,0,0,LOW
101.126.23.159,1,0,0,0,0,0,0,0,0,0,LOW
101.126.24.71,1,0,0,0,0,0,0,0,0,0,LOW
101.126.35.9,3,1,2,1,0,0,0,0,1,3,LOW
101.126.4.240,2,0,1,0,0,0,0,0,0,0,LOW
101.126.54.167,1,0,0,0,0,0,0,0,0,0,LOW
101.126.54.36,2,0,2,1,0,0,0,0,0,0,LOW
101.126.54.95,7,2,6,2,0,0,0,0,5,17,MEDIUM
101.126.55.179,6,0,4,2,0,0,0,0,2,7,LOW
101.126.55.63,4,1,2,1,0,0,0,0,1,3,LOW
101.126.55.67,3,0,2,1,0,0,0,0,0,0,LOW
101.126.64.76,1,0,0,0,0,0,0,0,0,0,LOW
101.126.83.70,109,18,0,0,0,0,0,0,6,21,HIGH
101.126.88.251,1,0,0,0,0,0,0,0,0,0,LOW
101.126.89.57,2,0,1,0,0,0,0,0,0,0,LOW
101.126.91.34,2,0,2,1,0,0,0,0,0,0,LOW
101.126.95.172,3,0,2,1,0,0,0,0,0,0,LOW
