Country,Count
United States,476
Bulgaria,257
South Korea,162
Germany,109
Romania,88
Iran,79
Australia,61
The Netherlands,55
France,54
Singapore,36
Vietnam,32
India,22
China,19
Japan,16
Indonesia,15
Türkiye,15
United Kingdom,14
Hong Kong,14
Sweden,13
Russia,12
Canada,10
Italy,10
Switzerland,6
Czechia,6
Taiwan,6
Thailand,6
Spain,6
Paraguay,5
Estonia,4
Bolivia,4
Poland,4
Philippines,4
South Africa,4
Israel,2
Hungary,2
Egypt,2
Ireland,2
Albania,2
Finland,2
Seychelles,2
United Arab Emirates,2
Nepal,2
Belgium,1
