username,count
root,8926
0,54
support,11
345gs5662d34,7
admin,7
runner,3
edison,2
sca,2
ubuntu,2
student,2
minecraft,2
downloader,2
newuser,2
git,2
kali,1
pi,1
gitlab-runner,1
testuser,1
nexus,1
odoo18,1
dev,1
gabriel,1
azureuser,1
core,1
docker,1
bot,1
openvpn,1
gg,1
coder,1
test2,1
grok,1
fred,1
ai,1
xiao,1
karel,1
deploy,1
sysupdate,1
fahmi,1
developer,1
elastic,1
arthur,1
user,1
nobody,1
test3,1
security,1
niaoyun,1
dspace,1
sftpuser,1
work,1
ivan,1
myuser,1
test,1
claude,1
fastuser,1
admin123,1
aaa,1
