hassh,hasshAlgorithms,kexAlgs,keyAlgs,encCS,macCS,compCS,langCS,sample_client_version,session_count
0a07365cc01fa9fc82608ba4019af499,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,ext-info-c,kex-strict-c-v00@openssh.com;aes128-gcm@openssh.com,aes256-gcm@openssh.com,chacha20-poly1305@openssh.com,aes128-ctr,aes192-ctr,aes256-ctr;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1,hmac-sha1-96;none",curve25519-sha256;curve25519-sha256@libssh.org;ecdh-sha2-nistp256;ecdh-sha2-nistp384;ecdh-sha2-nistp521;diffie-hellman-group14-sha256;diffie-hellman-group14-sha1;ext-info-c;kex-strict-c-v00@openssh.com,rsa-sha2-256-cert-v01@openssh.com;rsa-sha2-512-cert-v01@openssh.com;ssh-rsa-cert-v01@openssh.com;ssh-dss-cert-v01@openssh.com;ecdsa-sha2-nistp256-cert-v01@openssh.com;ecdsa-sha2-nistp384-cert-v01@openssh.com;ecdsa-sha2-nistp521-cert-v01@openssh.com;ssh-ed25519-cert-v01@openssh.com;ecdsa-sha2-nistp256;ecdsa-sha2-nistp384;ecdsa-sha2-nistp521;rsa-sha2-256;rsa-sha2-512;ssh-rsa;ssh-dss;ssh-ed25519,aes128-gcm@openssh.com;aes256-gcm@openssh.com;chacha20-poly1305@openssh.com;aes128-ctr;aes192-ctr;aes256-ctr,hmac-sha2-256-etm@openssh.com;hmac-sha2-512-etm@openssh.com;hmac-sha2-256;hmac-sha2-512;hmac-sha1;hmac-sha1-96,none,,SSH-2.0-Go,201612
594c57870d0ec290ad3f328d5116eb18,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,diffie-hellman-group14-sha256,ext-info-c,kex-strict-c-v00@openssh.com;chacha20-poly1305@openssh.com,aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha2-256,hmac-sha2-512;none",curve25519-sha256;curve25519-sha256@libssh.org;ecdh-sha2-nistp256;ecdh-sha2-nistp384;diffie-hellman-group14-sha256;ext-info-c;kex-strict-c-v00@openssh.com,rsa-sha2-256-cert-v01@openssh.com;rsa-sha2-512-cert-v01@openssh.com;ssh-rsa-cert-v01@openssh.com;ssh-dss-cert-v01@openssh.com;ecdsa-sha2-nistp256-cert-v01@openssh.com;ecdsa-sha2-nistp384-cert-v01@openssh.com;ecdsa-sha2-nistp521-cert-v01@openssh.com;ssh-ed25519-cert-v01@openssh.com;ecdsa-sha2-nistp256;ecdsa-sha2-nistp384;ecdsa-sha2-nistp521;rsa-sha2-256;rsa-sha2-512;ssh-rsa;ssh-dss;ssh-ed25519,chacha20-poly1305@openssh.com;aes256-gcm@openssh.com;aes128-gcm@openssh.com;aes256-ctr;aes192-ctr;aes128-ctr,hmac-sha2-256-etm@openssh.com;hmac-sha2-512-etm@openssh.com;hmac-sha2-256;hmac-sha2-512,none,,SSH-2.0-Go,49248
16443846184eafde36765c9bab2f4397,"mlkem768x25519-sha256,curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,ext-info-c,kex-strict-c-v00@openssh.com;aes128-gcm@openssh.com,aes256-gcm@openssh.com,chacha20-poly1305@openssh.com,aes128-ctr,aes192-ctr,aes256-ctr;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1,hmac-sha1-96;none",mlkem768x25519-sha256;curve25519-sha256;curve25519-sha256@libssh.org;ecdh-sha2-nistp256;ecdh-sha2-nistp384;ecdh-sha2-nistp521;diffie-hellman-group14-sha256;diffie-hellman-group14-sha1;ext-info-c;kex-strict-c-v00@openssh.com,rsa-sha2-256-cert-v01@openssh.com;rsa-sha2-512-cert-v01@openssh.com;ssh-rsa-cert-v01@openssh.com;ssh-dss-cert-v01@openssh.com;ecdsa-sha2-nistp256-cert-v01@openssh.com;ecdsa-sha2-nistp384-cert-v01@openssh.com;ecdsa-sha2-nistp521-cert-v01@openssh.com;ssh-ed25519-cert-v01@openssh.com;ecdsa-sha2-nistp256;ecdsa-sha2-nistp384;ecdsa-sha2-nistp521;rsa-sha2-256;rsa-sha2-512;ssh-rsa;ssh-dss;ssh-ed25519,aes128-gcm@openssh.com;aes256-gcm@openssh.com;chacha20-poly1305@openssh.com;aes128-ctr;aes192-ctr;aes256-ctr,hmac-sha2-256-etm@openssh.com;hmac-sha2-512-etm@openssh.com;hmac-sha2-256;hmac-sha2-512;hmac-sha1;hmac-sha1-96,none,,SSH-2.0-Go,42592
01ca35584ad5a1b66cf6a9846b5b2821,"curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group14-sha1;aes128-ctr,aes192-ctr,aes256-ctr,aes128-gcm@openssh.com,chacha20-poly1305@openssh.com,arcfour256,arcfour128,arcfour,aes128-cbc,3des-cbc,aes128-gcm@openssh.com,aes128-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-256,hmac-sha1,hmac-sha1-96;none",curve25519-sha256@libssh.org;ecdh-sha2-nistp256;ecdh-sha2-nistp384;ecdh-sha2-nistp521;diffie-hellman-group14-sha1,ssh-rsa-cert-v01@openssh.com;ssh-dss-cert-v01@openssh.com;ecdsa-sha2-nistp256-cert-v01@openssh.com;ecdsa-sha2-nistp384-cert-v01@openssh.com;ecdsa-sha2-nistp521-cert-v01@openssh.com;ssh-ed25519-cert-v01@openssh.com;ecdsa-sha2-nistp256;ecdsa-sha2-nistp384;ecdsa-sha2-nistp521;ssh-rsa;ssh-dss;ssh-ed25519,aes128-ctr;aes192-ctr;aes256-ctr;aes128-gcm@openssh.com;chacha20-poly1305@openssh.com;arcfour256;arcfour128;arcfour;aes128-cbc;3des-cbc;aes128-gcm@openssh.com;aes128-cbc,hmac-sha2-256-etm@openssh.com;hmac-sha2-256;hmac-sha1;hmac-sha1-96,none,,SSH-2.0-Go,31160
03a80b21afa810682a776a7d42e5e6fb,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,ext-info-c,kex-strict-c-v00@openssh.com;chacha20-poly1305@openssh.com,aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha2-256,hmac-sha2-512;none,zlib@openssh.com",curve25519-sha256;curve25519-sha256@libssh.org;ecdh-sha2-nistp256;ecdh-sha2-nistp384;ecdh-sha2-nistp521;diffie-hellman-group18-sha512;diffie-hellman-group16-sha512;diffie-hellman-group-exchange-sha256;diffie-hellman-group14-sha256;ext-info-c;kex-strict-c-v00@openssh.com,ssh-ed25519;ecdsa-sha2-nistp521;ecdsa-sha2-nistp384;ecdsa-sha2-nistp256;sk-ssh-ed25519@openssh.com;sk-ecdsa-sha2-nistp256@openssh.com;rsa-sha2-512;rsa-sha2-256,chacha20-poly1305@openssh.com;aes256-gcm@openssh.com;aes128-gcm@openssh.com;aes256-ctr;aes192-ctr;aes128-ctr,hmac-sha2-256-etm@openssh.com;hmac-sha2-512-etm@openssh.com;hmac-sha2-256;hmac-sha2-512,none;zlib@openssh.com,,SSH-2.0-libssh_0.11.1,20074
a7a87fbe86774c2e40cc4a7ea2ab1b3c,"diffie-hellman-group-exchange-sha256,diffie-hellman-group-exchange-sha1,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1;aes128-ctr,aes192-ctr,aes256-ctr,aes256-cbc,rijndael-cbc@lysator.liu.se,aes192-cbc,aes128-cbc,blowfish-cbc,arcfour128,arcfour,cast128-cbc,3des-cbc;hmac-sha2-256,hmac-sha2-512,hmac-sha1,hmac-sha1-96,hmac-md5,hmac-md5-96,hmac-ripemd160,hmac-ripemd160@openssh.com;none",diffie-hellman-group-exchange-sha256;diffie-hellman-group-exchange-sha1;diffie-hellman-group14-sha1;diffie-hellman-group1-sha1,ssh-rsa;ssh-dss,aes128-ctr;aes192-ctr;aes256-ctr;aes256-cbc;rijndael-cbc@lysator.liu.se;aes192-cbc;aes128-cbc;blowfish-cbc;arcfour128;arcfour;cast128-cbc;3des-cbc,hmac-sha2-256;hmac-sha2-512;hmac-sha1;hmac-sha1-96;hmac-md5;hmac-md5-96;hmac-ripemd160;hmac-ripemd160@openssh.com,none,,SSH-2.0-libssh2_1.8.1,12460
f555226df1963d1d3c09daf865abdc9a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c;aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1;none",curve25519-sha256;curve25519-sha256@libssh.org;ecdh-sha2-nistp256;ecdh-sha2-nistp384;ecdh-sha2-nistp521;diffie-hellman-group18-sha512;diffie-hellman-group16-sha512;diffie-hellman-group-exchange-sha256;diffie-hellman-group14-sha256;diffie-hellman-group14-sha1;diffie-hellman-group1-sha1;ext-info-c,ssh-ed25519;ecdsa-sha2-nistp521;ecdsa-sha2-nistp384;ecdsa-sha2-nistp256;rsa-sha2-512;rsa-sha2-256;ssh-rsa;ssh-dss,aes256-gcm@openssh.com;aes128-gcm@openssh.com;aes256-ctr;aes192-ctr;aes128-ctr;aes256-cbc;aes192-cbc;aes128-cbc;3des-cbc,hmac-sha2-256-etm@openssh.com;hmac-sha2-512-etm@openssh.com;hmac-sha1-etm@openssh.com;hmac-sha2-256;hmac-sha2-512;hmac-sha1,none,,SSH-2.0-libssh_0.9.6,10923
2ec37a7cc8daf20b10e1ad6221061ca5,"curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group-exchange-sha256,diffie-hellman-group-exchange-sha1,diffie-hellman-group16-sha512,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c,kex-strict-c-v00@openssh.com;aes128-ctr,aes192-ctr,aes256-ctr,aes128-gcm@openssh.com,aes256-gcm@openssh.com,chacha20-poly1305@openssh.com,arcfour256,arcfour128,arcfour,3des-cbc,aes128-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1,hmac-sha1-96;none",curve25519-sha256@libssh.org;ecdh-sha2-nistp256;ecdh-sha2-nistp384;ecdh-sha2-nistp521;diffie-hellman-group-exchange-sha256;diffie-hellman-group-exchange-sha1;diffie-hellman-group16-sha512;diffie-hellman-group14-sha256;diffie-hellman-group14-sha1;diffie-hellman-group1-sha1;ext-info-c;kex-strict-c-v00@openssh.com,ssh-rsa;rsa-sha2-256;rsa-sha2-512;ssh-dss;ecdsa-sha2-nistp256;ecdsa-sha2-nistp384;ecdsa-sha2-nistp521;ssh-ed25519,aes128-ctr;aes192-ctr;aes256-ctr;aes128-gcm@openssh.com;aes256-gcm@openssh.com;chacha20-poly1305@openssh.com;arcfour256;arcfour128;arcfour;3des-cbc;aes128-cbc,hmac-sha2-256-etm@openssh.com;hmac-sha2-512-etm@openssh.com;hmac-sha2-256;hmac-sha2-512;hmac-sha1;hmac-sha1-96,none,,SSH-2.0-Go,9763
acaa53e0a7d7ac7d1255103f37901306,"diffie-hellman-group1-sha1,diffie-hellman-group14-sha1,diffie-hellman-group14-sha256,diffie-hellman-group16-sha512,diffie-hellman-group18-sha512,diffie-hellman-group-exchange-sha1,diffie-hellman-group-exchange-sha256,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,curve25519-sha256,curve25519-sha256@libssh.org,ext-info-c;des,3des,blowfish,none,3des-cbc,blowfish-cbc,cast128-cbc,arcfour,arcfour128,arcfour256,aes128-cbc,aes192-cbc,aes256-cbc,rijndael-cbc@lysator.liu.se,aes128-ctr,aes192-ctr,aes256-ctr,aes128-gcm@openssh.com,aes256-gcm@openssh.com,chacha20-poly1305@openssh.com;hmac-sha1,hmac-sha1-96,hmac-sha2-256,hmac-sha2-512,hmac-md5,hmac-md5-96,hmac-ripemd160,hmac-ripemd160@openssh.com,umac-64@openssh.com,umac-128@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha1-96-etm@openssh.com,hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-md5-etm@openssh.com,hmac-md5-96-etm@openssh.com,hmac-ripemd160-etm@openssh.com,umac-64-etm@openssh.com,umac-128-etm@openssh.com;none,zlib@openssh.com,zlib",diffie-hellman-group1-sha1;diffie-hellman-group14-sha1;diffie-hellman-group14-sha256;diffie-hellman-group16-sha512;diffie-hellman-group18-sha512;diffie-hellman-group-exchange-sha1;diffie-hellman-group-exchange-sha256;ecdh-sha2-nistp256;ecdh-sha2-nistp384;ecdh-sha2-nistp521;curve25519-sha256;curve25519-sha256@libssh.org;ext-info-c,ssh-ed25519;ssh-ed25519-cert-v01@openssh.com;ecdsa-sha2-nistp256;ecdsa-sha2-nistp256-cert-v01@openssh.com;ecdsa-sha2-nistp384;ecdsa-sha2-nistp384-cert-v01@openssh.com;ecdsa-sha2-nistp521;ecdsa-sha2-nistp521-cert-v01@openssh.com;ssh-rsa;ssh-rsa-cert-v01@openssh.com;ssh-dss;ssh-dss-cert-v01@openssh.com,des;3des;blowfish;none;3des-cbc;blowfish-cbc;cast128-cbc;arcfour;arcfour128;arcfour256;aes128-cbc;aes192-cbc;aes256-cbc;rijndael-cbc@lysator.liu.se;aes128-ctr;aes192-ctr;aes256-ctr;aes128-gcm@openssh.com;aes256-gcm@openssh.com;chacha20-poly1305@openssh.com,hmac-sha1;hmac-sha1-96;hmac-sha2-256;hmac-sha2-512;hmac-md5;hmac-md5-96;hmac-ripemd160;hmac-ripemd160@openssh.com;umac-64@openssh.com;umac-128@openssh.com;hmac-sha1-etm@openssh.com;hmac-sha1-96-etm@openssh.com;hmac-sha2-256-etm@openssh.com;hmac-sha2-512-etm@openssh.com;hmac-md5-etm@openssh.com;hmac-md5-96-etm@openssh.com;hmac-ripemd160-etm@openssh.com;umac-64-etm@openssh.com;umac-128-etm@openssh.com,none;zlib@openssh.com;zlib,,SSH-2.0-OpenSSH_7.4,7387
fda360b1b4f4d3455cb75c6e7edb1d11,"curve25519-sha256,curve25519-sha256@libssh.org,curve448-sha512,ecdh-sha2-nistp521,ecdh-sha2-nistp384,ecdh-sha2-nistp256,ecdh-sha2-1.3.132.0.10,diffie-hellman-group-exchange-sha256,diffie-hellman-group-exchange-sha1,diffie-hellman-group14-sha256,diffie-hellman-group15-sha512,diffie-hellman-group16-sha512,diffie-hellman-group17-sha512,diffie-hellman-group18-sha512,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,rsa2048-sha256,rsa1024-sha1,ext-info-c;chacha20-poly1305@openssh.com,aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc,blowfish-cbc,cast128-cbc,arcfour256,arcfour128,arcfour;umac-64-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-md5-etm@openssh.com,hmac-sha2-256-96-etm@openssh.com,hmac-sha2-512-96-etm@openssh.com,hmac-sha1-96-etm@openssh.com,hmac-md5-96-etm@openssh.com,umac-64@openssh.com,umac-128@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1,hmac-md5,hmac-sha2-256-96,hmac-sha2-512-96,hmac-sha1-96,hmac-md5-96;zlib@openssh.com,zlib,none",curve25519-sha256;curve25519-sha256@libssh.org;curve448-sha512;ecdh-sha2-nistp521;ecdh-sha2-nistp384;ecdh-sha2-nistp256;ecdh-sha2-1.3.132.0.10;diffie-hellman-group-exchange-sha256;diffie-hellman-group-exchange-sha1;diffie-hellman-group14-sha256;diffie-hellman-group15-sha512;diffie-hellman-group16-sha512;diffie-hellman-group17-sha512;diffie-hellman-group18-sha512;diffie-hellman-group14-sha1;diffie-hellman-group1-sha1;rsa2048-sha256;rsa1024-sha1;ext-info-c,ssh-ed25519-cert-v01@openssh.com;ssh-ed448-cert-v01@openssh.com;ecdsa-sha2-nistp521-cert-v01@openssh.com;ecdsa-sha2-nistp384-cert-v01@openssh.com;ecdsa-sha2-nistp256-cert-v01@openssh.com;ecdsa-sha2-1.3.132.0.10-cert-v01@openssh.com;ssh-rsa-cert-v01@openssh.com;ssh-dss-cert-v01@openssh.com;ssh-ed25519;ssh-ed448;ecdsa-sha2-nistp521;ecdsa-sha2-nistp384;ecdsa-sha2-nistp256;ecdsa-sha2-1.3.132.0.10;rsa-sha2-256;rsa-sha2-512;ssh-rsa;ssh-dss,chacha20-poly1305@openssh.com;aes256-gcm@openssh.com;aes128-gcm@openssh.com;aes256-ctr;aes192-ctr;aes128-ctr;aes256-cbc;aes192-cbc;aes128-cbc;3des-cbc;blowfish-cbc;cast128-cbc;arcfour256;arcfour128;arcfour,umac-64-etm@openssh.com;umac-128-etm@openssh.com;hmac-sha2-256-etm@openssh.com;hmac-sha2-512-etm@openssh.com;hmac-sha1-etm@openssh.com;hmac-md5-etm@openssh.com;hmac-sha2-256-96-etm@openssh.com;hmac-sha2-512-96-etm@openssh.com;hmac-sha1-96-etm@openssh.com;hmac-md5-96-etm@openssh.com;umac-64@openssh.com;umac-128@openssh.com;hmac-sha2-256;hmac-sha2-512;hmac-sha1;hmac-md5;hmac-sha2-256-96;hmac-sha2-512-96;hmac-sha1-96;hmac-md5-96,zlib@openssh.com;zlib;none,,SSH-2.0-AsyncSSH_2.1.0,6185
