Country,Count
The Netherlands,176154
Sweden,96591
United States,77151
Germany,56108
Romania,43814
Indonesia,32813
United Kingdom,15956
Hong Kong,14633
Singapore,14630
Bulgaria,14302
Vietnam,12305
China,9564
Iran,7199
India,6809
South Korea,4830
Brazil,4264
Taiwan,3579
Switzerland,3522
Canada,3105
Russia,2951
France,2649
Australia,2633
Chile,2284
Japan,1906
Poland,1840
Pakistan,1809
Malaysia,1741
Türkiye,1613
Argentina,1447
Peru,1327
Mongolia,1089
Finland,1048
Seychelles,912
Denmark,869
Nigeria,702
South Africa,671
Mexico,670
Oman,641
United Arab Emirates,557
Macao,553
Iraq,543
Spain,541
Italy,506
Ethiopia,492
Thailand,441
Colombia,410
Czechia,399
Bangladesh,358
Belgium,336
Ukraine,308
Sri Lanka,285
Morocco,264
Bolivia,258
Philippines,251
Venezuela,241
Moldova,217
Ecuador,200
Egypt,196
Uzbekistan,189
Portugal,183
Israel,179
Zambia,166
Nepal,163
Austria,159
Ireland,158
Hungary,156
Norway,153
Kazakhstan,135
Tanzania,126
Kenya,118
Latvia,111
Palestine,95
Mauritius,89
Ghana,77
Senegal,72
Lithuania,65
Algeria,64
Iceland,58
Afghanistan,57
Estonia,51
Panama,51
Botswana,50
Rwanda,47
Paraguay,45
Belarus,43
Armenia,41
Dominican Republic,40
Uganda,40
Saudi Arabia,40
Syria,37
Myanmar,35
Tunisia,31
Mozambique,31
Qatar,28
Guatemala,26
Cambodia,26
Cameroon,25
Costa Rica,24
Cyprus,23
Angola,21
Antigua and Barbuda,19
Georgia,18
Serbia,18
Greece,17
Libya,15
North Macedonia,15
Congo (DRC),15
Ivory Coast,12
New Zealand,11
Guadeloupe,10
Burkina Faso,10
Laos,10
Zimbabwe,10
Kuwait,8
Albania,7
El Salvador,7
Brunei,6
Lebanon,6
Madagascar,5
Azerbaijan,5
Benin,5
Togo,5
Luxembourg,5
Belize,4
Slovakia,3
Nauru,3
Nicaragua,2
Bosnia and Herzegovina,2
Trinidad and Tobago,1
Maldives,1
Slovenia,1
Cabo Verde,1
Kyrgyzstan,1
Unknown,1
