src_ip,success_count,failed_count,command_count,total_events,malicious_reason
103.105.67.170,13431,0,13431,26862,command_count >= 5
192.109.200.78,13076,0,13076,26152,command_count >= 5
45.153.34.149,11580,0,11580,23160,command_count >= 5
209.141.51.29,8848,0,8850,17698,command_count >= 5
45.156.87.204,4414,0,4414,8828,command_count >= 5
176.65.132.17,4338,0,4338,8676,command_count >= 5
45.156.87.253,3691,0,3691,7382,command_count >= 5
176.65.132.24,3615,0,3615,7230,command_count >= 5
176.65.132.129,3500,0,3500,7000,command_count >= 5
45.153.34.71,2967,0,2967,5934,command_count >= 5
45.153.34.112,2930,0,2930,5860,command_count >= 5
176.65.132.254,2740,0,2740,5480,command_count >= 5
45.153.34.186,2320,0,2320,4640,command_count >= 5
185.242.3.195,2165,0,2165,4330,command_count >= 5
45.156.87.99,2054,0,2054,4108,command_count >= 5
45.156.87.216,1652,0,1652,3304,command_count >= 5
192.109.200.220,1559,0,1559,3118,command_count >= 5
176.65.132.149,1555,0,1555,3110,command_count >= 5
176.65.139.217,1522,0,1522,3044,command_count >= 5
45.156.87.34,1521,0,1521,3042,command_count >= 5
45.156.87.254,1446,0,1446,2892,command_count >= 5
91.92.42.61,1422,0,1421,2843,command_count >= 5
45.153.34.181,1414,0,1413,2827,command_count >= 5
176.65.139.103,1370,0,1370,2740,command_count >= 5
192.109.200.237,1370,0,1370,2740,command_count >= 5
155.103.69.40,1354,0,1353,2707,command_count >= 5
2.57.122.208,1329,1920,1329,4578,command_count >= 5
176.65.139.249,1316,0,1316,2632,command_count >= 5
159.65.82.169,428,208,1284,1920,command_count >= 5
80.94.92.186,1099,240,1064,2403,command_count >= 5
91.92.42.133,1010,0,1010,2020,command_count >= 5
200.89.69.247,984,0,983,1967,command_count >= 5
176.65.139.105,925,0,925,1850,command_count >= 5
2.57.122.238,903,384,903,2190,command_count >= 5
134.199.164.144,296,140,888,1324,command_count >= 5
193.32.162.145,822,219,822,1863,command_count >= 5
2.57.122.96,792,1476,791,3059,command_count >= 5
176.65.139.218,761,0,761,1522,command_count >= 5
176.65.139.222,761,0,761,1522,command_count >= 5
45.153.34.114,761,0,761,1522,command_count >= 5
45.153.34.144,761,0,761,1522,command_count >= 5
91.92.40.239,761,0,761,1522,command_count >= 5
91.92.42.147,761,0,761,1522,command_count >= 5
91.92.42.7,761,0,761,1522,command_count >= 5
45.156.87.166,760,0,760,1520,command_count >= 5
176.65.139.211,756,0,756,1512,command_count >= 5
91.92.42.10,756,0,756,1512,command_count >= 5
91.92.42.64,756,0,756,1512,command_count >= 5
80.94.92.182,684,348,671,1703,command_count >= 5
45.148.10.183,593,0,590,1183,command_count >= 5
80.94.92.184,537,337,530,1404,command_count >= 5
91.92.40.7,132,0,481,613,command_count >= 5
91.92.40.8,148,0,476,624,command_count >= 5
94.182.134.144,439,0,439,878,command_count >= 5
68.183.237.35,140,203,420,763,command_count >= 5
91.92.40.5,90,0,384,474,command_count >= 5
109.122.240.108,381,0,381,762,command_count >= 5
109.122.240.109,381,0,381,762,command_count >= 5
144.172.109.224,381,0,381,762,command_count >= 5
159.223.115.49,381,0,381,762,command_count >= 5
42.96.17.104,381,0,381,762,command_count >= 5
43.157.224.34,381,0,381,762,command_count >= 5
43.99.62.208,381,0,381,762,command_count >= 5
47.79.238.97,381,0,381,762,command_count >= 5
47.83.133.3,381,0,381,762,command_count >= 5
64.225.110.117,381,0,381,762,command_count >= 5
77.37.96.85,381,0,381,762,command_count >= 5
83.168.110.85,381,0,381,762,command_count >= 5
83.168.95.208,381,0,381,762,command_count >= 5
85.208.108.56,381,0,381,762,command_count >= 5
47.236.124.158,374,0,374,748,command_count >= 5
8.219.145.204,374,0,374,748,command_count >= 5
91.92.40.6,81,0,368,449,command_count >= 5
101.36.107.152,364,173,364,901,command_count >= 5
94.182.134.147,364,0,364,728,command_count >= 5
85.9.111.160,363,0,363,726,command_count >= 5
5.129.252.199,361,0,361,722,command_count >= 5
193.32.162.84,86,0,357,443,command_count >= 5
193.32.162.151,341,196,341,878,command_count >= 5
188.241.187.54,334,8,334,676,command_count >= 5
47.86.176.177,333,0,333,666,command_count >= 5
157.92.145.135,314,173,314,801,command_count >= 5
89.40.31.15,94,37,282,413,command_count >= 5
92.118.39.92,280,341,280,901,command_count >= 5
91.92.40.233,69,0,276,345,command_count >= 5
134.199.151.172,89,131,267,487,command_count >= 5
91.92.243.116,89,104,267,460,command_count >= 5
66.181.171.136,255,107,255,617,command_count >= 5
104.43.56.65,247,0,247,494,command_count >= 5
203.171.29.193,247,0,247,494,command_count >= 5
47.86.3.155,247,0,247,494,command_count >= 5
47.253.11.8,239,0,239,478,command_count >= 5
165.154.137.186,236,0,236,472,command_count >= 5
176.65.139.254,234,0,234,468,command_count >= 5
8.218.166.49,229,0,229,458,command_count >= 5
8.218.120.171,212,0,212,424,command_count >= 5
8.218.85.44,208,0,208,416,command_count >= 5
91.92.40.231,66,0,198,264,command_count >= 5
78.128.112.74,193,0,193,386,command_count >= 5
37.27.214.143,192,0,192,384,command_count >= 5
80.94.92.171,198,111,191,500,command_count >= 5
206.189.128.105,191,0,191,382,command_count >= 5
43.159.169.193,190,0,190,380,command_count >= 5
58.213.47.2,190,0,190,380,command_count >= 5
82.115.25.218,189,0,189,378,command_count >= 5
202.133.91.110,186,0,186,372,command_count >= 5
139.99.74.35,185,0,185,370,command_count >= 5
177.126.132.44,185,0,185,370,command_count >= 5
165.22.101.46,183,2,181,366,command_count >= 5
2.57.122.209,34,0,170,204,command_count >= 5
45.14.50.135,169,0,169,338,command_count >= 5
45.148.10.240,163,0,163,326,command_count >= 5
103.116.107.209,20,0,161,181,command_count >= 5
35.229.125.98,7,0,161,168,command_count >= 5
138.199.29.156,157,0,157,314,command_count >= 5
103.82.27.19,173,225,156,554,command_count >= 5
182.93.7.194,123,103,156,382,command_count >= 5
64.226.69.103,52,79,156,287,command_count >= 5
178.16.54.95,49,50,147,246,command_count >= 5
195.178.110.218,143,1864,143,2150,command_count >= 5
179.61.185.154,141,7,141,289,command_count >= 5
165.22.78.95,46,498,138,682,command_count >= 5
31.14.116.175,133,0,135,268,command_count >= 5
176.65.139.246,133,0,133,266,command_count >= 5
92.118.39.95,131,216,131,478,command_count >= 5
128.1.44.162,19,13,127,159,command_count >= 5
38.250.116.128,42,46,126,214,command_count >= 5
80.94.92.234,27,0,124,151,command_count >= 5
212.72.14.244,123,372,122,617,command_count >= 5
88.210.14.13,12,14,120,146,command_count >= 5
91.92.40.10,30,0,118,148,command_count >= 5
2.57.122.210,115,140,115,370,command_count >= 5
20.61.126.214,112,0,112,224,command_count >= 5
70.54.182.130,27,15,112,154,command_count >= 5
8.217.133.144,111,0,111,222,command_count >= 5
20.203.42.204,125,82,110,317,command_count >= 5
176.65.148.108,108,0,108,216,command_count >= 5
47.83.159.53,108,0,108,216,command_count >= 5
89.167.81.47,36,14,108,158,command_count >= 5
38.244.208.197,105,0,103,208,command_count >= 5
103.68.68.121,17,0,103,120,command_count >= 5
157.230.243.193,34,83,102,219,command_count >= 5
46.249.101.161,100,0,100,200,command_count >= 5
91.92.40.237,23,0,96,119,command_count >= 5
8.219.137.119,94,0,94,188,command_count >= 5
91.92.40.13,23,0,92,115,command_count >= 5
92.118.39.71,21,0,92,113,command_count >= 5
34.75.237.227,5,0,92,97,command_count >= 5
102.88.137.80,103,55,90,248,command_count >= 5
102.88.137.213,94,75,90,259,command_count >= 5
195.178.110.232,18,0,90,108,command_count >= 5
91.92.40.12,22,0,88,110,command_count >= 5
27.50.25.190,86,75,86,247,command_count >= 5
94.183.186.131,10,5,85,100,command_count >= 5
46.101.166.142,28,310,84,422,command_count >= 5
142.93.110.2,28,118,84,230,command_count >= 5
158.180.79.132,13,12,84,109,command_count >= 5
5.223.71.106,83,1,83,167,command_count >= 5
118.196.114.236,8,0,82,90,command_count >= 5
159.195.147.215,79,0,79,158,command_count >= 5
151.80.141.196,79,75,78,232,command_count >= 5
190.123.65.197,78,0,78,156,command_count >= 5
80.94.92.168,79,49,77,205,command_count >= 5
120.48.11.36,11,1,77,89,command_count >= 5
91.92.40.11,19,0,76,95,command_count >= 5
173.254.234.162,75,0,75,150,command_count >= 5
138.99.80.102,60,49,75,184,command_count >= 5
45.91.169.93,21,20,75,116,command_count >= 5
8.219.218.85,74,224,74,372,command_count >= 5
147.182.149.47,74,173,74,321,command_count >= 5
161.132.45.15,74,173,74,321,command_count >= 5
161.132.51.203,74,173,74,321,command_count >= 5
197.156.67.84,74,173,74,321,command_count >= 5
47.86.222.222,74,0,74,148,command_count >= 5
47.237.13.79,72,0,72,144,command_count >= 5
136.232.11.10,17,9,71,97,command_count >= 5
47.82.99.25,69,0,69,138,command_count >= 5
206.189.123.252,23,9,69,101,command_count >= 5
136.107.187.197,3,0,69,72,command_count >= 5
34.139.191.163,3,0,69,72,command_count >= 5
103.144.28.85,69,54,68,191,command_count >= 5
52.187.9.8,66,50,64,180,command_count >= 5
20.164.21.26,64,187,61,312,command_count >= 5
45.156.87.209,61,0,61,122,command_count >= 5
120.62.8.17,61,50,60,171,command_count >= 5
46.225.127.111,60,50,60,170,command_count >= 5
183.110.116.87,42,45,59,146,command_count >= 5
195.178.110.227,13,0,59,72,command_count >= 5
165.154.5.173,58,50,58,166,command_count >= 5
106.251.244.178,25,14,58,97,command_count >= 5
184.168.21.211,58,51,56,165,command_count >= 5
211.213.96.171,56,51,56,163,command_count >= 5
128.1.131.163,56,50,56,162,command_count >= 5
164.90.157.6,56,50,56,162,command_count >= 5
195.178.110.228,11,0,55,66,command_count >= 5
102.23.122.235,56,51,54,161,command_count >= 5
189.8.5.118,56,50,54,160,command_count >= 5
49.207.40.162,56,49,54,159,command_count >= 5
92.118.39.76,54,180,54,288,command_count >= 5
92.118.39.56,54,156,54,264,command_count >= 5
112.151.178.49,20,12,54,86,command_count >= 5
104.248.205.86,18,30,54,102,command_count >= 5
219.92.11.46,18,18,54,90,command_count >= 5
91.92.40.204,13,0,52,65,command_count >= 5
203.121.40.210,53,50,50,153,command_count >= 5
202.165.29.123,51,50,50,151,command_count >= 5
37.143.61.130,50,50,50,150,command_count >= 5
193.90.12.40,50,0,50,100,command_count >= 5
92.118.39.72,48,320,48,416,command_count >= 5
160.187.229.189,48,101,48,197,command_count >= 5
181.167.144.229,48,49,48,145,command_count >= 5
185.158.22.150,51,26,46,123,command_count >= 5
103.183.74.214,46,50,46,142,command_count >= 5
165.22.214.133,46,0,46,92,command_count >= 5
23.97.62.145,46,0,46,92,command_count >= 5
43.252.15.100,9,9,46,64,command_count >= 5
34.138.181.9,3,0,46,49,command_count >= 5
34.150.142.107,2,0,46,48,command_count >= 5
195.178.110.217,21,0,45,66,command_count >= 5
80.94.92.55,9,0,45,54,command_count >= 5
156.232.13.218,44,51,44,139,command_count >= 5
157.15.77.139,44,0,44,88,command_count >= 5
135.235.138.43,46,26,42,114,command_count >= 5
198.98.55.71,46,25,42,113,command_count >= 5
40.81.244.142,44,26,42,112,command_count >= 5
101.47.159.125,43,50,42,135,command_count >= 5
51.79.84.112,42,95,42,179,command_count >= 5
87.121.84.47,42,15,42,99,command_count >= 5
46.101.149.220,14,17,42,73,command_count >= 5
157.230.114.55,14,13,42,69,command_count >= 5
188.166.216.131,6,10,42,58,command_count >= 5
59.103.37.61,41,1,41,83,command_count >= 5
103.30.75.85,41,0,41,82,command_count >= 5
173.249.41.171,43,26,40,109,command_count >= 5
187.141.71.166,43,26,40,109,command_count >= 5
139.59.56.88,40,225,40,305,command_count >= 5
103.42.74.124,2,0,40,42,command_count >= 5
217.60.39.166,23,22,39,84,command_count >= 5
172.203.134.70,22,18,39,79,command_count >= 5
187.85.187.100,21,26,39,86,command_count >= 5
5.181.124.105,57,0,38,95,command_count >= 5
52.172.177.191,41,28,38,107,command_count >= 5
148.66.132.204,41,25,38,104,command_count >= 5
182.93.50.90,40,28,38,106,command_count >= 5
121.168.139.251,40,26,38,104,command_count >= 5
37.143.61.84,39,25,38,102,command_count >= 5
94.156.221.46,38,26,38,102,command_count >= 5
152.32.129.236,41,25,36,102,command_count >= 5
187.110.238.50,41,25,36,102,command_count >= 5
43.156.71.43,40,26,36,102,command_count >= 5
59.12.160.91,40,26,36,102,command_count >= 5
222.108.100.117,39,25,36,100,command_count >= 5
