session,src_ip,src_port,dst_ip,dst_port,connect_ts,close_ts,duration_sec,incomplete,client_version,hassh,arch,has_pty,term_width,term_height,login_attempts,login_success,distinct_usernames_tried,distinct_passwords_tried,commands_count,command_failed_count,file_download_count,file_upload_count,file_download_failed_count,direct_tcpip_count,direct_tcpip_unique_targets,ttylog_fragment_count,ttylog_active_duration_sec,ttylog_total_size,ttylog_shasums,ttylog_any_duplicate,source_file
ab71cb7bdc93,111.223.188.134,16620,167.99.72.235,22,2026-03-18T00:01:54.226028Z,2026-03-18T00:02:20.515347Z,26.3,False,SSH-2.0-OpenSSH_10.2,eeca2460550b9ded084ecf2f70a75356,linux-x64-lsb,True,80,24,2,True,1,1,3,1,0,0,0,0,0,1,19.9,467,06dba54338dbb045c85d2f12c18341f409e936c0554b70323f4bb2de41a7f375,False,cowrie_2026-03-18.json
9e906f5e0e59,170.64.203.213,40152,167.99.72.235,22,2026-03-18T00:14:24.387729Z,2026-03-18T00:14:24.481165Z,0.1,False,,,,False,,,0,False,0,0,0,0,0,0,0,0,0,0,0.0,0,,False,cowrie_2026-03-18.json
8389b02454f4,103.25.139.186,57109,167.99.72.235,22,2026-03-18T00:15:02.224690Z,2026-03-18T00:15:02.227026Z,0.0,False,,,,False,,,0,False,0,0,0,0,0,0,0,0,0,0,0.0,0,,False,cowrie_2026-03-18.json
9448680cbefb,103.25.139.186,57208,167.99.72.235,22,2026-03-18T00:15:03.297891Z,2026-03-18T00:15:04.268668Z,1.0,False,SSH-2.0-libssh_0.9.5,742ee33575d0ff88acd63dcc5529bb46,,False,,,1,False,1,1,0,0,0,0,0,0,0,0,0.0,0,,False,cowrie_2026-03-18.json
2a74f77a82f5,103.25.139.186,57319,167.99.72.235,22,2026-03-18T00:15:04.358991Z,2026-03-18T00:15:05.280779Z,0.9,False,SSH-2.0-libssh_0.9.5,742ee33575d0ff88acd63dcc5529bb46,,False,,,1,False,1,1,0,0,0,0,0,0,0,0,0.0,0,,False,cowrie_2026-03-18.json
05082969789f,103.25.139.186,57434,167.99.72.235,22,2026-03-18T00:15:05.392602Z,2026-03-18T00:15:06.331755Z,0.9,False,SSH-2.0-libssh_0.9.5,742ee33575d0ff88acd63dcc5529bb46,,False,,,1,False,1,1,0,0,0,0,0,0,0,0,0.0,0,,False,cowrie_2026-03-18.json
208a6957b6de,103.25.139.186,57544,167.99.72.235,22,2026-03-18T00:15:06.423872Z,2026-03-18T00:15:07.343517Z,0.9,False,SSH-2.0-libssh_0.9.5,742ee33575d0ff88acd63dcc5529bb46,,False,,,1,False,1,1,0,0,0,0,0,0,0,0,0.0,0,,False,cowrie_2026-03-18.json
d41de5f67afb,103.25.139.186,57645,167.99.72.235,22,2026-03-18T00:15:07.437394Z,2026-03-18T00:15:08.357893Z,0.9,False,SSH-2.0-libssh_0.9.5,742ee33575d0ff88acd63dcc5529bb46,,False,,,1,False,1,1,0,0,0,0,0,0,0,0,0.0,0,,False,cowrie_2026-03-18.json
3eb9625cfef6,103.25.139.186,57751,167.99.72.235,22,2026-03-18T00:15:08.452313Z,2026-03-18T00:15:09.374184Z,0.9,False,SSH-2.0-libssh_0.9.5,742ee33575d0ff88acd63dcc5529bb46,,False,,,1,False,1,1,0,0,0,0,0,0,0,0,0.0,0,,False,cowrie_2026-03-18.json
9c6417ced6ba,103.25.139.186,57851,167.99.72.235,22,2026-03-18T00:15:09.470256Z,2026-03-18T00:15:10.389343Z,0.9,False,SSH-2.0-libssh_0.9.5,742ee33575d0ff88acd63dcc5529bb46,,False,,,1,False,1,1,0,0,0,0,0,0,0,0,0.0,0,,False,cowrie_2026-03-18.json
