ip,score,risk,temporal,burst,acl_action,acl_rule
35.229.125.98,8.6722,HIGH,EXTREME_BURST,125,DENY_SSH,deny tcp host 35.229.125.98 any eq 22
34.75.237.227,8.1808,HIGH,HIGH_BURST,65,DENY_SSH,deny tcp host 34.75.237.227 any eq 22
34.139.191.163,7.9470,HIGH,HIGH_BURST,60,DENY_SSH,deny tcp host 34.139.191.163 any eq 22
136.107.187.197,7.9470,HIGH,HIGH_BURST,60,DENY_SSH,deny tcp host 136.107.187.197 any eq 22
128.1.44.162,7.8854,HIGH,HIGH_BURST,49,DENY_SSH,deny tcp host 128.1.44.162 any eq 22
34.150.142.107,7.3813,HIGH,BURST,37,DENY_SSH,deny tcp host 34.150.142.107 any eq 22
34.138.181.9,7.3813,HIGH,BURST,37,DENY_SSH,deny tcp host 34.138.181.9 any eq 22
158.180.79.132,7.2599,HIGH,BURST,32,DENY_SSH,deny tcp host 158.180.79.132 any eq 22
182.93.7.194,7.2242,HIGH,BURST,16,DENY_SSH,deny tcp host 182.93.7.194 any eq 22
136.232.11.10,7.1054,HIGH,BURST,24,DENY_SSH,deny tcp host 136.232.11.10 any eq 22
106.251.244.178,6.9121,MEDIUM,BURST,16,DENY_SSH,deny tcp host 106.251.244.178 any eq 22
