ip,commands,unique,severity,intensity,diversity,total
35.229.125.98,161,11,3.854351183534014,3.6819922675969217,2.5791560995565916,10.115499550687527
200.89.69.247,983,17,1.9850044231774309,4.98760349526788,3.0,9.972607918445311
103.116.107.209,161,10,3.05592173827455,3.6819922675969217,2.4888444881675813,9.226758494039053
34.75.237.227,92,11,3.1090096702096917,3.280330275090844,2.5791560995565916,8.968496044857128
5.129.252.199,361,12,1.83439548539681,4.263897330286874,2.6622347285822894,8.760527544265974
128.1.44.162,127,15,2.0112310482779745,3.511508527156422,2.8777495988175774,8.400489174251973
88.210.14.13,120,14,2.0689500718965816,3.4708067508455476,2.8107632110341454,8.350520033776274
34.139.191.163,69,11,2.66137542243934,3.0747185113367563,2.5791560995565916,8.315250033332688
136.107.187.197,69,11,2.66137542243934,3.0747185113367563,2.5791560995565916,8.315250033332688
70.54.182.130,112,15,1.8273227885931722,3.421302369036254,2.8777495988175774,8.126374756447003
158.180.79.132,84,14,1.677892649268868,3.215232989446661,2.8107632110341454,7.703888849749674
182.93.7.194,156,14,1.0779115292903336,3.6593032803007306,2.8107632110341454,7.54797802062521
94.183.186.131,85,15,1.4433752772685478,3.223697640557313,2.8777495988175774,7.544822516643438
118.196.114.236,82,15,1.4433752772685478,3.1980007605904515,2.8777495988175774,7.519125636676576
34.150.142.107,46,11,2.044612087050111,2.786426588216289,2.5791560995565916,7.410194774822992
34.138.181.9,46,11,2.044612087050111,2.786426588216289,2.5791560995565916,7.410194774822992
45.91.169.93,75,14,1.4147078982288108,3.1342358200731963,2.8107632110341454,7.359706929336153
120.48.11.36,77,15,1.3105073471092585,3.1530347840203836,2.8777495988175774,7.34129172994722
136.232.11.10,71,14,1.4147078982288108,3.095106322068612,2.8107632110341454,7.320577431331569
103.68.68.121,103,5,1.7184769255106591,3.361235886564289,1.8597186998521975,6.939431511927146
106.251.244.178,58,14,1.0779115292903336,2.9509930328645098,2.8107632110341454,6.839667773188989
91.92.40.7,481,5,0.4999999999996543,4.471098129396151,1.8597186998521975,6.830816829248003
112.151.178.49,54,14,1.0779115292903336,2.900184847514351,2.8107632110341454,6.7888595878388305
219.92.11.46,54,14,1.0779115292903336,2.900184847514351,2.8107632110341454,6.7888595878388305
91.92.40.5,384,5,0.4999999993091837,4.3084778114514695,1.8597186998521975,6.668196510612851
159.65.82.169,1284,2,0.5,5,1.1402813001478027,6.6402813001478025
91.92.40.6,368,5,0.4999999994344074,4.277758317415914,1.8597186998521975,6.637477016702519
193.32.162.84,357,5,0.4999999997700472,4.255855920669662,1.8597186998521975,6.615574620291906
