ip,commands,unique,severity,intensity,diversity,total,risk_level
200.89.69.247,983,17,1.9850,4.2834,3.0000,9.2684,HIGH
35.229.125.98,161,11,3.8544,2.0058,1.8312,7.6914,HIGH
103.116.107.209,161,10,3.0559,2.0058,1.7653,6.8271,MEDIUM
34.75.237.227,92,11,3.1090,1.8631,1.8312,6.8033,MEDIUM
128.1.44.162,127,15,2.0112,1.9423,2.3540,6.3075,MEDIUM
34.139.191.163,69,11,2.6614,1.8000,1.8312,6.2926,MEDIUM
136.107.187.197,69,11,2.6614,1.8000,1.8312,6.2926,MEDIUM
70.54.182.130,112,15,1.8273,1.9104,2.3540,6.0917,MEDIUM
88.210.14.13,120,14,2.0690,1.9277,2.0000,5.9967,MEDIUM
5.129.252.199,361,12,1.8344,2.2494,1.8917,5.9755,MEDIUM
94.183.186.131,85,15,1.4434,1.8450,2.3540,5.6423,MEDIUM
118.196.114.236,82,15,1.4434,1.8370,2.3540,5.6343,MEDIUM
158.180.79.132,84,14,1.6779,1.8423,2.0000,5.5202,MEDIUM
192.109.200.78,13076,1,0.5000,4.9913,0.0000,5.4913,MEDIUM
120.48.11.36,77,15,1.3105,1.8232,2.3540,5.4877,MEDIUM
45.153.34.149,11580,1,0.5000,4.9522,0.0000,5.4522,MEDIUM
159.65.82.169,1284,2,0.5000,4.3379,0.5850,5.4228,MEDIUM
134.199.164.144,888,2,0.5000,4.2643,0.5850,5.3493,MEDIUM
34.150.142.107,46,11,2.0446,1.3870,1.8312,5.2628,MEDIUM
34.138.181.9,46,11,2.0446,1.3870,1.8312,5.2628,MEDIUM
45.91.169.93,75,14,1.4147,1.8175,2.0000,5.2322,MEDIUM
136.232.11.10,71,14,1.4147,1.8060,2.0000,5.2207,MEDIUM
45.156.87.204,4414,1,0.5000,4.6552,0.0000,5.1552,MEDIUM
176.65.132.17,4338,1,0.5000,4.6501,0.0000,5.1501,MEDIUM
45.156.87.253,3691,1,0.5000,4.6038,0.0000,5.1038,MEDIUM
176.65.132.24,3615,1,0.5000,4.5979,0.0000,5.0979,MEDIUM
176.65.132.129,3500,1,0.5000,4.5888,0.0000,5.0888,MEDIUM
182.93.7.194,156,14,1.0779,1.9971,2.0000,5.0750,MEDIUM
45.153.34.71,2967,1,0.5000,4.5431,0.0000,5.0431,MEDIUM
45.153.34.112,2930,1,0.5000,4.5397,0.0000,5.0397,MEDIUM
176.65.132.254,2740,1,0.5000,4.5216,0.0000,5.0216,MEDIUM
103.105.67.170,13431,1,0.0000,5.0000,0.0000,5.0000,MEDIUM
45.153.34.186,2320,1,0.5000,4.4779,0.0000,4.9779,MEDIUM
45.156.87.99,2054,1,0.5000,4.4471,0.0000,4.9471,MEDIUM
103.68.68.121,103,5,1.7185,1.8898,1.3068,4.9151,MEDIUM
45.156.87.216,1652,1,0.5000,4.3944,0.0000,4.8944,MEDIUM
192.109.200.220,1559,1,0.5000,4.3810,0.0000,4.8810,MEDIUM
176.65.132.149,1555,1,0.5000,4.3804,0.0000,4.8804,MEDIUM
176.65.139.217,1522,1,0.5000,4.3755,0.0000,4.8755,MEDIUM
45.156.87.34,1521,1,0.5000,4.3753,0.0000,4.8753,MEDIUM
209.141.51.29,8850,1,0.0000,4.8668,0.0000,4.8668,MEDIUM
45.156.87.254,1446,1,0.5000,4.3639,0.0000,4.8639,MEDIUM
91.92.42.61,1421,1,0.5000,4.3600,0.0000,4.8600,MEDIUM
45.153.34.181,1413,1,0.5000,4.3588,0.0000,4.8588,MEDIUM
176.65.139.103,1370,1,0.5000,4.3519,0.0000,4.8519,MEDIUM
192.109.200.237,1370,1,0.5000,4.3519,0.0000,4.8519,MEDIUM
155.103.69.40,1353,1,0.5000,4.3492,0.0000,4.8492,MEDIUM
2.57.122.208,1329,1,0.5000,4.3453,0.0000,4.8453,MEDIUM
106.251.244.178,58,14,1.0779,1.7657,2.0000,4.8436,MEDIUM
176.65.139.249,1316,1,0.5000,4.3432,0.0000,4.8432,MEDIUM
80.94.92.186,1064,1,0.5000,4.2990,0.0000,4.7990,MEDIUM
91.92.42.133,1010,1,0.5000,4.2887,0.0000,4.7887,MEDIUM
176.65.139.105,925,1,0.5000,4.2719,0.0000,4.7719,MEDIUM
2.57.122.238,903,1,0.5000,4.2674,0.0000,4.7674,MEDIUM
193.32.162.145,822,1,0.5000,4.2503,0.0000,4.7503,MEDIUM
2.57.122.96,791,1,0.5000,4.2436,0.0000,4.7436,MEDIUM
45.156.87.209,61,12,0.9250,1.7753,1.8917,4.5921,MEDIUM
112.151.178.49,54,14,1.0779,1.4807,2.0000,4.5586,MEDIUM
219.92.11.46,54,14,1.0779,1.4807,2.0000,4.5586,MEDIUM
185.242.3.195,2165,1,0.0000,4.4603,0.0000,4.4603,MEDIUM
138.99.80.102,75,14,0.6283,1.8175,2.0000,4.4459,MEDIUM
188.166.216.131,42,14,1.0779,1.3363,2.0000,4.4142,MEDIUM
183.110.116.87,59,14,0.6283,1.7689,2.0000,4.3973,MEDIUM
103.42.74.124,40,14,0.8966,1.3099,2.0000,4.2065,MEDIUM
91.92.40.7,481,5,0.5000,2.3436,1.3068,4.1504,MEDIUM
14.103.117.81,26,14,0.6283,1.4810,2.0000,4.1093,MEDIUM
187.210.77.100,23,14,0.6283,1.4503,2.0000,4.0786,MEDIUM
91.92.40.5,384,5,0.5000,2.2694,1.3068,4.0761,MEDIUM
91.92.40.6,368,5,0.5000,2.2556,1.3068,4.0623,MEDIUM
222.222.168.9,21,14,0.6283,1.4281,2.0000,4.0565,MEDIUM
85.87.1.47,21,14,0.6283,1.4281,2.0000,4.0565,MEDIUM
193.32.162.84,357,5,0.5000,2.2458,1.3068,4.0525,MEDIUM
14.103.118.113,19,14,0.6283,1.4044,2.0000,4.0327,MEDIUM
123.231.115.91,19,14,0.6283,1.4044,2.0000,4.0327,MEDIUM
