ip,logins,commands,commands_per_login,unique_commands,recon,modification,execution,persistence,privilege,remote_access,download,chaining,activity_minutes
123.117.152.61,1,0,0.0,0,0,0,0,0,0,0,0,0,0
179.43.139.58,3,0,0.0,0,0,0,0,0,0,0,0,0,0
94.154.35.215,13,0,0.0,0,0,0,0,0,0,0,0,0,0
164.92.251.94,1,0,0.0,0,0,0,0,0,0,0,0,0,0
134.199.161.122,23,0,0.0,0,0,0,0,0,0,0,0,0,0
36.93.144.67,3,2,0.667,2,0,1,0,2,0,2,0,2,0.0
103.98.149.87,2,0,0.0,0,0,0,0,0,0,0,0,0,0
124.223.157.209,1,1,1.0,1,1,0,0,0,0,0,0,0,0
221.1.111.98,4,4,1.0,1,4,0,0,0,0,0,0,0,276.96
103.82.36.79,4,0,0.0,0,0,0,0,0,0,0,0,0,0
81.168.119.134,2,2,1.0,1,2,0,0,0,0,0,0,0,0.03
193.134.101.173,4,4,1.0,1,4,0,0,0,0,0,0,0,251.47
176.53.159.196,6,0,0.0,0,0,0,0,0,0,0,0,0,0
20.116.34.103,3,2,0.667,2,0,1,0,2,0,2,0,2,0.01
203.83.234.180,3,1,0.333,1,0,0,0,1,0,1,0,1,0
115.190.249.95,1,1,1.0,1,1,0,0,0,0,0,0,0,0
220.205.123.19,3,2,0.667,2,0,1,0,2,0,2,0,2,0.02
43.165.177.143,3,2,0.667,2,0,1,0,2,0,2,0,2,0.01
45.116.78.92,3,2,0.667,2,0,1,0,2,0,2,0,2,0.0
181.115.171.107,3,2,0.667,2,0,1,0,2,0,2,0,2,0.02
92.118.39.49,1,9,9.0,9,5,1,1,0,0,0,0,2,0.0
73.94.248.204,2,2,1.0,1,2,0,0,0,0,0,0,0,0.04
103.143.238.100,3,2,0.667,2,0,1,0,2,0,2,0,2,0.01
159.65.94.135,1,0,0.0,0,0,0,0,0,0,0,0,0,0
90.53.176.108,2,2,1.0,1,2,0,0,0,0,0,0,0,0.06
95.232.64.115,4,4,1.0,1,4,0,0,0,0,0,0,0,235.78
14.187.16.203,1,1,1.0,1,1,0,0,0,0,0,0,0,0
45.205.24.171,1,1,1.0,1,1,0,0,0,0,0,0,0,0
103.149.170.125,1,0,0.0,0,0,0,0,0,0,0,0,0,0
20.228.193.165,3,2,0.667,2,0,1,0,2,0,2,0,2,0.01
213.227.151.237,1,1,1.0,1,1,0,0,0,0,0,0,0,0
13.70.25.162,3,2,0.667,2,0,1,0,2,0,2,0,2,0.0
91.92.42.126,500,500,1.0,1,500,0,0,0,0,0,0,0,45.26
45.153.34.149,772,772,1.0,1,772,0,0,0,0,0,0,0,96.87
45.205.24.168,1,1,1.0,1,1,0,0,0,0,0,0,0,0
154.223.17.178,1,0,0.0,0,0,0,0,0,0,0,0,0,0
91.92.40.124,772,772,1.0,1,772,0,0,0,0,0,0,0,73.88
185.246.130.20,1,0,0.0,0,0,0,0,0,0,0,0,0,0
51.250.105.222,1,0,0.0,0,0,0,0,0,0,0,0,0,0
103.27.238.114,1,0,0.0,0,0,0,0,0,0,0,0,0,0
203.150.180.223,1,9,9.0,9,7,0,0,0,0,0,0,3,0.04
217.26.25.143,2,1,0.5,1,1,0,0,0,0,0,0,1,0
195.178.110.232,3,27,9.0,9,15,3,3,0,0,0,0,6,4.03
63.141.242.2,2,0,0.0,0,0,0,0,0,0,0,0,0,0
14.163.24.149,1,0,0.0,0,0,0,0,0,0,0,0,0,0
23.175.50.52,1,0,0.0,0,0,0,0,0,0,0,0,0,0
114.70.63.104,2,2,1.0,1,2,0,0,0,0,0,0,0,0.03
