ip,successful_logins,commands,commands_per_login,activity_span_minutes,max_commands_5s,max_commands_1min,burst_10plus_5s
111.223.188.134,2,6,3.0,0.1135841687520345,4,6,0
103.25.139.186,4,6,1.5,0.01047998269399007,6,6,0
2.57.122.238,903,903,1.0,131588.25339039962,2,2,0
167.99.150.169,24,24,1.0,4.356392967700958,2,10,0
92.118.39.95,131,131,1.0,37271.26118001938,2,2,0
92.118.39.76,54,54,1.0,44471.92779752016,2,2,0
142.93.110.2,28,84,3.0,63.06024459997813,6,12,0
80.94.92.182,684,671,0.9809941520467836,130594.8740470171,2,2,0
46.101.166.142,28,84,3.0,71.55772303342819,6,6,0
8.219.218.85,74,74,1.0,35.422423617045084,2,8,0
115.191.66.84,2,2,1.0,0.0,2,2,0
165.22.78.95,46,138,3.0,168.4166657805443,6,6,0
134.199.164.144,296,888,3.0,170.20502539873124,6,12,0
2.57.122.96,792,791,0.9987373737373737,44301.283832919595,2,2,0
80.94.92.171,198,191,0.9646464646464646,140229.04409666458,2,2,0
195.178.110.218,143,143,1.0,7411.190861300627,2,2,0
159.65.82.169,428,1284,3.0,182.7828277508418,6,18,0
157.230.88.131,28,28,1.0,7.182072667280833,2,8,0
92.118.39.56,54,54,1.0,43823.82314286629,2,2,0
2.57.122.208,1329,1329,1.0,81056.90858834982,2,2,0
67.207.88.23,32,32,1.0,6.883990001678467,2,10,0
104.248.205.86,18,54,3.0,12.316188168525695,6,12,0
159.223.137.144,10,10,1.0,3.5170022368431093,1,5,0
64.227.165.219,5,15,3.0,34.758937199910484,3,3,0
101.126.4.240,1,1,1.0,0.0,1,1,0
134.199.151.172,89,267,3.0,177.36059511899947,3,6,0
89.167.81.47,36,108,3.0,55.35956968466441,3,3,0
142.93.241.57,16,16,1.0,8.647766383488973,1,4,0
103.82.27.19,173,156,0.9017341040462428,15315.657766067981,1,1,0
68.183.237.35,140,420,3.0,264.2313070853551,3,6,0
64.226.69.103,52,156,3.0,91.84482341607412,3,6,0
157.230.243.193,34,102,3.0,124.56482255061468,3,6,0
206.189.123.252,23,69,3.0,21.17880924940109,3,6,0
170.106.83.126,1,1,1.0,0.0,1,1,0
212.72.14.244,123,122,0.991869918699187,1048.324482667446,1,4,0
159.65.201.72,12,36,3.0,19.458747033278147,3,6,0
14.103.73.104,1,1,1.0,0.0,1,1,0
206.189.143.230,4,12,3.0,5.85133128563563,3,3,0
134.209.184.57,5,15,3.0,4.379412082831065,3,6,0
139.84.242.153,11,11,1.0,1324.9630684336028,1,1,0
92.118.39.92,280,280,1.0,41991.04444661538,1,1,0
20.164.21.26,64,61,0.953125,39.113918634255725,1,4,0
121.165.84.80,1,9,9.0,0.05179909865061442,9,9,0
123.231.87.161,7,19,2.7142857142857144,55.51377526521683,4,4,0
167.99.72.235,1,4,4.0,4.394748934110006,1,2,0
193.248.143.58,1,9,9.0,0.08839540084203085,8,9,0
5.187.97.40,1,9,9.0,0.12315245072046915,6,9,0
162.120.6.20,11,11,1.0,4127.0361495018005,1,1,0
61.92.58.210,1,9,9.0,0.03532308340072632,9,9,0
139.59.56.88,40,40,1.0,18.091693381468456,2,6,0
46.101.149.220,14,42,3.0,100.94201893409094,3,3,0
172.104.209.131,1,1,1.0,0.0,1,1,0
172.214.45.193,9,9,1.0,149.05471673409144,1,1,0
5.75.145.231,1,1,1.0,0.0,1,1,0
20.171.51.209,9,10,1.1111111111111112,39.520726883411406,2,2,0
48.214.54.33,7,7,1.0,13.60626791715622,1,2,0
38.250.116.128,42,126,3.0,2497.511281534036,3,12,0
129.212.230.107,1,1,1.0,0.0,1,1,0
128.24.161.196,9,9,1.0,46.79522171417872,1,1,0
20.62.207.244,8,8,1.0,12.850967268149057,1,2,0
222.114.185.30,1,9,9.0,0.05267731746037801,9,9,0
157.230.114.55,14,42,3.0,20.703357434272768,3,6,0
139.59.32.167,8,24,3.0,10.090364301204682,3,6,0
194.156.102.62,1,1,1.0,0.0,1,1,0
80.94.92.184,537,530,0.9869646182495344,126266.2767190973,1,1,0
101.69.132.194,1,1,1.0,0.0,1,1,0
203.189.188.153,21,36,1.7142857142857142,144.75711416403453,2,4,0
5.75.240.121,1,1,1.0,0.0,1,1,0
135.181.101.111,3,3,1.0,174.38169745206832,1,1,0
142.93.139.168,7,7,1.0,624.6021521687508,1,1,0
138.128.241.222,2,3,1.5,437.76211060285567,1,2,0
172.187.200.190,5,5,1.0,616.208636713028,1,1,0
64.176.195.200,3,3,1.0,576.7047405997912,1,1,0
5.75.137.141,5,5,1.0,332.0885439157486,1,1,0
159.65.30.211,4,4,1.0,528.4775425036748,1,1,0
172.105.63.214,2,2,1.0,127.6737046678861,1,1,0
20.244.95.173,3,3,1.0,255.77785180012384,1,1,0
45.79.127.249,2,2,1.0,322.0614525516828,1,1,0
64.227.144.233,3,3,1.0,265.97822990020114,1,1,0
203.189.185.224,1,1,1.0,0.0,1,1,0
157.230.34.146,1,1,1.0,0.0,1,1,0
168.144.35.228,24,1,0.041666666666666664,0.0,1,1,0
90.156.227.201,1,1,1.0,0.0,1,1,0
66.181.171.136,255,255,1.0,81997.60826066733,3,11,0
2.57.122.210,115,115,1.0,71493.85864969889,1,1,0
168.144.40.190,153,3,0.0196078431372549,1079.3181849320729,1,1,0
218.157.205.238,2,18,9.0,33946.97416591644,9,9,0
115.190.252.57,1,1,1.0,0.0,1,1,0
130.12.180.51,201,1,0.004975124378109453,0.0,1,1,0
103.247.50.143,1,5,5.0,0.6546341180801392,2,5,0
116.203.194.55,6,6,1.0,134.09052014748255,1,1,0
222.222.163.203,23,23,1.0,2.0310067335764566,2,12,0
193.32.162.82,27,27,1.0,30185.16378439665,1,1,0
91.92.243.116,89,267,3.0,9126.733969032764,3,3,0
51.195.196.29,1,1,1.0,0.0,1,1,0
23.97.62.120,5,5,1.0,253.4472071170807,1,1,0
89.231.40.49,1,9,9.0,0.10027286609013876,7,9,0
213.209.159.158,88,34,0.38636363636363635,106907.16076161464,1,1,0
193.32.162.145,822,822,1.0,82611.42592266401,1,1,0
58.213.47.2,190,190,1.0,28.361535584926607,2,20,0
103.61.122.229,1,1,1.0,0.0,1,1,0
85.225.135.134,1,9,9.0,0.12083508173624674,6,9,0
178.104.97.166,2,2,1.0,36.87367206811905,1,1,0
221.6.122.67,2,2,1.0,801.2087342302004,1,1,0
23.97.62.152,1,1,1.0,0.0,1,1,0
188.241.187.54,334,334,1.0,2107.8619676152866,1,1,0
207.46.224.91,7,8,1.1428571428571428,333.0830645839373,2,2,0
188.68.242.199,1,1,1.0,0.0,1,1,0
85.239.151.41,1,7,7.0,0.008583152294158935,7,7,0
193.32.162.151,341,341,1.0,63671.1752406319,1,1,0
80.94.92.186,1099,1064,0.9681528662420382,124812.31746893327,1,1,0
5.161.233.230,11,12,1.0909090909090908,534.8166018644969,2,2,0
172.237.19.78,4,4,1.0,34.702744750181836,1,1,0
46.101.122.220,2,2,1.0,0.008310850461324055,2,2,0
190.255.143.207,2,2,1.0,0.01681353251139323,2,2,0
209.74.71.212,2,2,1.0,0.010365668932596843,2,2,0
201.49.108.245,5,4,0.8,48872.593782730895,2,2,0
14.103.79.11,1,2,2.0,0.03554421663284302,2,2,0
163.43.142.110,2,2,1.0,0.0058013200759887695,2,2,0
172.191.94.172,2,2,1.0,0.015768682956695555,2,2,0
103.175.206.22,2,2,1.0,0.001691615581512451,2,2,0
14.103.122.180,5,4,0.8,60086.25497791767,2,2,0
103.67.78.132,5,4,0.8,40340.1618175149,2,2,0
36.110.172.218,7,9,1.2857142857142858,76614.36123906374,2,3,0
103.123.53.88,13,10,0.7692307692307693,91882.68784085115,2,2,0
134.112.56.47,5,4,0.8,75263.80280046463,2,2,0
45.43.55.121,7,6,0.8571428571428571,46402.64570980072,2,2,0
163.53.168.23,5,4,0.8,39119.36443433364,2,2,0
103.49.239.46,1,1,1.0,0.0,1,1,0
200.155.66.2,2,2,1.0,0.020067083835601806,2,2,0
175.0.72.110,2,2,1.0,0.018017033735911053,2,2,0
152.32.218.149,11,8,0.7272727272727273,121560.25827200015,2,2,0
160.16.101.165,2,2,1.0,0.006102414925893148,2,2,0
61.155.106.101,4,4,1.0,3373.6715641697247,2,2,0
103.63.25.109,2,2,1.0,0.004130931695302328,2,2,0
200.77.172.159,7,6,0.8571428571428571,70971.04145896435,2,2,0
107.180.88.176,2,2,1.0,0.010094900925954184,2,2,0
49.7.235.5,1,1,1.0,0.0,1,1,0
103.59.94.19,2,2,1.0,0.0016955494880676269,2,2,0
45.61.187.220,2,2,1.0,0.014805769920349121,2,2,0
124.71.216.175,2,2,1.0,0.02074350118637085,2,2,0
103.176.79.137,2,2,1.0,0.003560801347096761,2,2,0
94.156.221.46,38,38,1.0,16718.37000736793,2,2,0
221.156.126.1,10,8,0.8,34423.82450426817,2,2,0
20.203.42.204,125,110,0.88,104271.91229089895,3,4,0
173.249.41.171,43,40,0.9302325581395349,41237.79470080137,2,2,0
187.104.6.82,2,2,1.0,0.019550649325052898,2,2,0
34.69.0.72,2,2,1.0,0.012826236089070638,2,2,0
199.195.251.10,6,6,1.0,3814.0818769494695,2,2,0
69.6.221.248,14,10,0.7142857142857143,87113.21788298289,2,2,0
51.163.39.213,5,4,0.8,31845.742158619563,2,2,0
103.187.146.107,2,2,1.0,0.0030182321866353353,2,2,0
201.16.238.49,8,6,0.75,128990.45324431658,2,2,0
115.68.208.216,2,2,1.0,0.007491131623586019,2,2,0
81.192.46.49,8,6,0.75,58878.65653326909,2,2,0
118.219.239.123,7,6,0.8571428571428571,38141.40636265278,2,2,0
172.245.43.228,1,1,1.0,0.0,1,1,0
182.93.7.194,123,156,1.2682926829268293,132070.7474307696,17,19,16
46.250.250.80,2,2,1.0,0.005461601416269938,2,2,0
101.47.142.210,2,2,1.0,0.0032288829485575357,2,2,0
43.157.209.93,4,4,1.0,6901.308569566409,2,2,0
157.66.34.121,4,4,1.0,6613.662484065691,2,2,0
101.126.55.63,2,2,1.0,0.05706836779912313,2,2,0
57.128.237.155,2,2,1.0,0.011896113554636637,2,2,0
103.144.28.85,69,68,0.9855072463768116,31214.118725717068,2,4,0
162.223.91.130,33,30,0.9090909090909091,59678.629794148605,2,4,0
76.164.199.207,2,2,1.0,0.01245498259862264,2,2,0
161.132.45.15,74,74,1.0,61.313670281569166,1,4,0
103.176.79.139,2,2,1.0,0.0017348488171895346,2,2,0
116.193.191.8,2,2,1.0,0.0031646331151326495,2,2,0
103.249.84.18,4,4,1.0,8771.334446835517,2,2,0
165.154.23.29,32,32,1.0,13569.655696682135,2,2,0
5.175.139.236,2,2,1.0,0.004901484648386637,2,2,0
222.110.147.56,10,8,0.8,80143.51974996725,2,2,0
197.153.57.103,7,6,0.8571428571428571,98778.1884834528,2,2,0
46.101.74.113,7,6,0.8571428571428571,28809.351661133765,2,2,0
87.121.84.47,42,42,1.0,225.55465048154196,1,1,0
187.141.71.166,43,40,0.9302325581395349,49457.61258194844,2,2,0
45.249.244.231,4,4,1.0,18236.827293185394,2,2,0
101.47.142.8,2,2,1.0,0.0025536020596822104,2,2,0
101.47.142.49,2,2,1.0,0.002354101339975993,2,2,0
101.47.163.102,2,2,1.0,0.001261146863301595,2,2,0
103.97.135.244,5,4,0.8,81312.47920664946,2,2,0
103.154.77.48,19,14,0.7368421052631579,108134.49429776668,2,2,0
179.40.112.10,5,4,0.8,109303.01607376734,2,2,0
98.70.48.241,19,14,0.7368421052631579,102895.68085050186,2,2,0
67.81.35.26,2,2,1.0,0.014423116048177084,2,2,0
110.239.65.57,2,2,1.0,0.0028818647066752114,2,2,0
163.7.6.74,2,2,1.0,0.004066117604573568,2,2,0
103.168.135.187,7,6,0.8571428571428571,80330.33748941422,2,2,0
157.245.10.239,33,1,0.030303030303030304,0.0,1,1,0
188.166.83.64,1,1,1.0,0.0,1,1,0
200.24.69.113,4,4,1.0,5317.090248886744,2,2,0
187.16.96.250,11,8,0.7272727272727273,127649.54249398311,2,2,0
52.172.177.191,41,38,0.926829268292683,48675.38046571811,2,2,0
14.18.122.240,2,2,1.0,0.01837540070215861,2,2,0
18.181.199.172,2,2,1.0,0.006014498074849447,2,2,0
202.152.201.166,8,6,0.75,121464.66620758375,2,2,0
165.154.22.250,2,2,1.0,0.002459263801574707,2,2,0
154.125.83.50,2,2,1.0,0.020925331115722656,2,2,0
88.218.76.200,2,2,1.0,0.018386717637379965,2,2,0
193.37.70.108,2,2,1.0,0.014639397462209066,2,2,0
85.69.240.210,8,6,0.75,131287.43282774687,2,2,0
67.52.95.38,13,10,0.7692307692307693,59839.69134869973,2,2,0
36.95.194.53,2,2,1.0,0.002203349272410075,2,2,0
202.111.173.175,2,2,1.0,0.015693914890289307,2,2,0
150.139.201.247,2,4,2.0,130736.61396868229,2,2,0
128.1.44.162,19,127,6.684210526315789,49509.667695617674,18,20,49
138.128.240.172,26,26,1.0,16290.160603264967,2,2,0
152.32.252.65,30,30,1.0,20382.711824051537,2,2,0
210.13.100.77,2,2,1.0,0.007033280531565348,2,2,0
209.38.210.222,9,27,3.0,206.0709265311559,3,9,0
158.94.208.44,9,27,3.0,34.64584994713466,3,3,0
101.126.54.36,1,2,2.0,0.0245702862739563,2,2,0
182.40.104.74,1,1,1.0,0.0,1,1,0
