ip,commands,unique,severity_old,severity_new,intensity,diversity,total_old,total_new,risk_level_old,risk_level_new,persistence_backdoor_hits,dropper_execution_hits,successful_logins,commands_per_login,activity_span_minutes,max_commands_5s,max_commands_1min,burst_10plus_5s,temporal_level,mitigation_decision_old,mitigation_decision_new
35.229.125.98,161,11,4.0072,5.2861,2.8338,1.8312,8.6722,9.9511,HIGH,HIGH,0,15,7,23.0,0.6605375488599141,69,161,125,EXTREME_BURST,ACL_BLOCK_CANDIDATE,ACL_BLOCK_CANDIDATE
34.75.237.227,92,11,3.7082,4.8974,2.6414,1.8312,8.1808,9.37,HIGH,HIGH,0,9,5,18.4,1.4848970532417298,46,69,65,HIGH_BURST,ACL_BLOCK_CANDIDATE,ACL_BLOCK_CANDIDATE
34.139.191.163,69,11,3.5594,4.7061,2.5564,1.8312,7.947,9.0937,HIGH,HIGH,0,7,3,23.0,0.0035620808601379396,69,69,60,HIGH_BURST,ACL_BLOCK_CANDIDATE,ACL_BLOCK_CANDIDATE
136.107.187.197,69,11,3.5594,4.7061,2.5564,1.8312,7.947,9.0937,HIGH,HIGH,0,7,3,23.0,0.04318666855494181,69,69,60,HIGH_BURST,ACL_BLOCK_CANDIDATE,ACL_BLOCK_CANDIDATE
128.1.44.162,127,15,2.7833,4.6119,2.7481,2.354,7.8854,9.7141,HIGH,HIGH,25,0,19,6.684210526315789,49509.667695617674,18,20,49,HIGH_BURST,ACL_BLOCK_CANDIDATE,ACL_BLOCK_CANDIDATE
34.150.142.107,46,11,3.3576,4.4494,2.1925,1.8312,7.3813,8.4731,HIGH,HIGH,0,5,2,23.0,0.0056867837905883786,46,46,37,BURST,ACL_BLOCK_CANDIDATE,ACL_BLOCK_CANDIDATE
34.138.181.9,46,11,3.3576,4.4494,2.1925,1.8312,7.3813,8.4731,HIGH,HIGH,0,5,3,15.333333333333334,0.08393346468607585,29,46,37,BURST,ACL_BLOCK_CANDIDATE,ACL_BLOCK_CANDIDATE
158.180.79.132,84,14,2.6465,4.3816,2.6134,2.0,7.2599,8.995,HIGH,HIGH,17,0,13,6.461538461538462,26197.659465781846,15,19,32,BURST,ACL_BLOCK_CANDIDATE,ACL_BLOCK_CANDIDATE
136.232.11.10,71,14,2.541,4.3493,2.5644,2.0,7.1054,8.9137,HIGH,HIGH,23,0,17,4.176470588235294,55642.69519228538,15,19,24,BURST,ACL_BLOCK_CANDIDATE,ACL_BLOCK_CANDIDATE
182.93.7.194,156,14,2.4021,4.4021,2.8221,2.0,7.2242,9.2242,HIGH,HIGH,129,0,123,1.2682926829268293,132070.7474307696,17,19,16,BURST,ACL_BLOCK_CANDIDATE,ACL_BLOCK_CANDIDATE
106.251.244.178,58,14,2.4021,4.2307,2.51,2.0,6.9121,8.7407,MEDIUM,HIGH,25,0,25,2.32,117021.33283281724,17,19,16,BURST,ACL_BLOCK_CANDIDATE,ACL_BLOCK_CANDIDATE
103.105.67.170,13431,1,0.0,0.0,5.0,0.0,5.0,5.0,MEDIUM,MEDIUM,0,0,13431,1.0,60.74219108422597,22,251,13409,EXTREME_BURST,HIGH_PRIORITY_REVIEW,HIGH_PRIORITY_REVIEW
103.42.74.124,40,14,1.7624,3.2181,1.9824,2.0,5.7448,7.2005,MEDIUM,HIGH,5,0,2,20.0,4265.02930248181,18,20,18,BURST,MONITOR,ACL_BLOCK_CANDIDATE
112.151.178.49,54,14,2.4021,4.1882,2.4475,2.0,6.8496,8.6358,MEDIUM,HIGH,21,0,20,2.7,113585.02475965023,16,19,16,BURST,MONITOR,ACL_BLOCK_CANDIDATE
219.92.11.46,54,14,2.4021,4.1882,2.4475,2.0,6.8496,8.6358,MEDIUM,HIGH,21,0,18,3.0,39.68412441809972,17,19,16,BURST,MONITOR,ACL_BLOCK_CANDIDATE
188.166.216.131,42,14,2.4021,3.9877,2.0544,2.0,6.4565,8.0421,MEDIUM,HIGH,9,0,6,7.0,21.124941500027976,17,19,16,BURST,MONITOR,ACL_BLOCK_CANDIDATE
35.185.206.243,24,2,0.4301,1.6194,1.4274,0.585,2.4425,3.6317,LOW,LOW,0,9,8,3.0,0.7071557799975078,18,24,12,BURST,MONITOR,MONITOR
35.187.231.181,20,1,0.0,0.0,1.345,0.0,1.345,1.345,LOW,LOW,0,0,20,1.0,0.09785178105036417,18,20,11,BURST,MONITOR,MONITOR
85.87.1.47,21,14,2.1964,3.6521,1.3667,2.0,5.5631,7.0188,MEDIUM,HIGH,5,0,3,7.0,1.7813195665677388,11,19,10,BURST,MONITOR,ACL_BLOCK_CANDIDATE
49.228.244.133,19,14,2.1964,3.549,1.3226,2.0,5.519,6.8716,MEDIUM,MEDIUM,3,0,1,19.0,0.06027203400929769,19,19,10,BURST,MONITOR,MONITOR
218.255.103.194,24,14,1.6083,3.1372,1.4274,2.0,5.0357,6.5645,MEDIUM,MEDIUM,7,0,7,3.4285714285714284,8763.614355583986,18,20,9,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
101.36.110.164,20,14,1.6083,2.9609,1.345,2.0,4.9533,6.3059,MEDIUM,MEDIUM,3,0,1,20.0,0.5879799167315165,14,20,9,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
123.231.115.91,19,14,2.1964,3.549,1.3226,2.0,5.519,6.8716,MEDIUM,MEDIUM,3,0,1,19.0,0.36164601643880206,17,19,8,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
103.49.188.186,19,14,2.1964,3.549,1.3226,2.0,5.519,6.8716,MEDIUM,MEDIUM,3,0,1,19.0,0.516450834274292,17,19,8,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
200.89.69.247,983,17,1.9783,1.9783,3.6338,3.0,8.6121,8.6121,HIGH,HIGH,0,0,984,0.9989837398373984,78164.71428448359,1,4,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
103.116.107.209,161,10,3.1758,3.1758,2.8338,1.7653,7.7749,7.7749,HIGH,HIGH,0,0,20,8.05,6146.190451999505,9,18,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
